stride_mm,swing_ramp_eps,"p8_overshoot_deg (beyond stance, at tau*)",tau_star (of the swing),scope,d29_min_centreline_mm,phase,closest_links,centreline_at_the_hand_over_mm (phase 0),cost_of_the_swing_mm (hand-over less minimum),"clearance_mm @ ruled 45.7700 (D439 cl.2, gait hand-over pose at 58.711 mm, worst pair)","clearance_mm @ 45.1400 (D439 cl.2, least conservative pair)","clearance_mm @ envelope 51.0000 (femur, D436 cl.4)","clearance_mm @ envelope 56.0000 (tibia, D436 cl.4)","passes @ ruled 45.7700 (D439 cl.2, gait hand-over pose at 58.711 mm, worst pair)","passes @ 45.1400 (D439 cl.2, least conservative pair)","passes @ envelope 51.0000 (femur, D436 cl.4)","passes @ envelope 56.0000 (tibia, D436 cl.4)",source,status
60.0000,0.2460,1.8959,0.1057,L1-L2,44.8579,0.0283,L1 rigid (swing) / L2 rigid (stance),45.0503,0.1924,-0.9121,-0.2821,-6.1421,-11.1421,NO,NO,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
60.0000,0.2460,1.8959,0.1057,L2-L3,44.8579,0.4717,L2 rigid (stance) / L3 rigid (swing),45.0503,0.1924,-0.9121,-0.2821,-6.1421,-11.1421,NO,NO,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.0150,0.1261,0.0074,all four pairs,46.9308,0.5010,"R1 rigid (swing) / R2 rigid (stance); tie within 1e-9 mm: R1-R2, R2-R3, L1-L2, L2-L3",46.9328,0.0020,1.1608,1.7908,-4.0692,-9.0692,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.0150,0.1261,0.0074,R1-R2,46.9308,0.5010,R1 rigid (swing) / R2 rigid (stance),46.9328,0.0020,1.1608,1.7908,-4.0692,-9.0692,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.0150,0.1261,0.0074,R2-R3,46.9308,0.9990,R2 rigid (stance) / R3 rigid (swing),46.9328,0.0020,1.1608,1.7908,-4.0692,-9.0692,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.0150,0.1261,0.0074,L1-L2,46.9308,0.0010,L1 rigid (swing) / L2 rigid (stance),46.9328,0.0020,1.1608,1.7908,-4.0692,-9.0692,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.0150,0.1261,0.0074,L2-L3,46.9308,0.4990,L2 rigid (stance) / L3 rigid (swing),46.9328,0.0020,1.1608,1.7908,-4.0692,-9.0692,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.1200,0.9597,0.0557,all four pairs,46.8907,0.5111,"R1 rigid (swing) / R2 rigid (stance); tie within 1e-9 mm: R1-R2, R2-R3, L1-L2, L2-L3",46.9328,0.0421,1.1207,1.7507,-4.1093,-9.1093,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.1200,0.9597,0.0557,R1-R2,46.8907,0.5111,R1 rigid (swing) / R2 rigid (stance),46.9328,0.0421,1.1207,1.7507,-4.1093,-9.1093,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.1200,0.9597,0.0557,R2-R3,46.8907,0.9889,R2 rigid (stance) / R3 rigid (swing),46.9328,0.0421,1.1207,1.7507,-4.1093,-9.1093,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.1200,0.9597,0.0557,L1-L2,46.8907,0.0111,L1 rigid (swing) / L2 rigid (stance),46.9328,0.0421,1.1207,1.7507,-4.1093,-9.1093,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.1200,0.9597,0.0557,L2-L3,46.8907,0.4889,L2 rigid (stance) / L3 rigid (swing),46.9328,0.0421,1.1207,1.7507,-4.1093,-9.1093,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.2460,1.8400,0.1058,all four pairs,46.7447,0.5285,"R1 rigid (swing) / R2 rigid (stance); tie within 1e-9 mm: R1-R2, R2-R3, L1-L2, L2-L3",46.9328,0.1881,0.9747,1.6047,-4.2553,-9.2553,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.2460,1.8400,0.1058,R1-R2,46.7447,0.5285,R1 rigid (swing) / R2 rigid (stance),46.9328,0.1881,0.9747,1.6047,-4.2553,-9.2553,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.2460,1.8400,0.1058,R2-R3,46.7447,0.9715,R2 rigid (stance) / R3 rigid (swing),46.9328,0.1881,0.9747,1.6047,-4.2553,-9.2553,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.2460,1.8400,0.1058,L1-L2,46.7447,0.0285,L1 rigid (swing) / L2 rigid (stance),46.9328,0.1881,0.9747,1.6047,-4.2553,-9.2553,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
58.0000,0.2460,1.8400,0.1058,L2-L3,46.7447,0.4715,L2 rigid (stance) / L3 rigid (swing),46.9328,0.1881,0.9747,1.6047,-4.2553,-9.2553,yes,yes,NO,NO,"P8's path, HANDOFF_C16_AI sec.2 (Spider AI, bc063acde6953a52..., D433), re-derived in closed form from config/hexapod.json at 80.0000 deg, stride re-solved",interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); P8 at 80.0000 deg only; no pair (D431 cl.9)
