theta2_nom_deg,longest_stride_mm @ width 45.7700,binding_bar @ width 45.7700,longest_stride_mm @ width 45.1400,binding_bar @ width 45.1400,longest_stride_mm @ width 51.0000,binding_bar @ width 51.0000,longest_stride_mm @ width 56.0000,binding_bar @ width 56.0000,d29_closest_links @ width 45.7700,d29_phase,"overshoot_budget_deg @ own stride, width 45.7700",shipped_60.0000_passes_torque_vertical_posed_coxa,"overshoot_budget_deg @ shipped 60.0000, width 45.7700","overshoot_budget_deg @ shipped 60.0000, width 45.1400","overshoot_budget_deg @ shipped 60.0000, width 51.0000","overshoot_budget_deg @ shipped 60.0000, width 56.0000",status
76.5000,59.1830,D29,59.8520,D29,53.6642,D29,48.4349,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
77.0000,59.1910,D29,59.8602,D29,53.6711,D29,48.4411,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
77.5000,59.1987,D29,59.8681,D29,53.6777,D29,48.4471,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
78.0000,59.2063,D29,59.8758,D29,53.6841,D29,48.4529,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
78.5000,59.2136,D29,59.8833,D29,53.6903,D29,48.4585,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
79.0000,59.2207,D29,59.8906,D29,53.6964,D29,48.4640,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
79.5000,59.2276,D29,59.8977,D29,53.7022,D29,48.4692,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
80.0000,59.2343,D29,59.9045,D29,53.7079,D29,48.4743,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
80.5000,59.2407,D29,59.9111,D29,53.7133,D29,48.4793,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
81.0000,59.2469,D29,59.9175,D29,53.7186,D29,48.4840,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
81.5000,59.2529,D29,59.9236,D29,53.7236,D29,48.4885,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
82.0000,59.2587,D29,59.9295,D29,53.7285,D29,48.4929,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
82.5000,59.2642,D29,59.9352,D29,53.7331,D29,48.4971,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
83.0000,59.2695,D29,59.9406,D29,53.7376,D29,48.5011,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
83.5000,59.2746,D29,59.9458,D29,53.7418,D29,48.5049,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
84.0000,59.2794,D29,59.9508,D29,53.7458,D29,48.5085,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
84.5000,59.2840,D29,59.9555,D29,53.7496,D29,48.5120,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
85.0000,59.2884,D29,59.9600,D29,53.7533,D29,48.5152,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
85.5000,59.2925,D29,59.9643,D29,53.7567,D29,48.5169,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
86.0000,59.2964,D29,59.9683,D29,53.7593,D29,48.5143,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
86.5000,59.2997,D29,59.9719,D29,53.7577,D29,48.5073,D29,"swing, 0.0006 of a cycle from a hand-over (tau 0.0012 after lift-off, or before touch-down): the four closing pairs tie as mirror images",0.0006,0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
87.0000,59.2984,D29,59.9712,D29,53.7509,D29,48.4954,D29,"swing, 0.0021 of a cycle from a hand-over (tau 0.0041 after lift-off, or before touch-down): the four closing pairs tie as mirror images",0.0021,0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
87.5000,59.2912,D29,59.9647,D29,53.7386,D29,48.4784,D29,"swing, 0.0035 of a cycle from a hand-over (tau 0.0071 after lift-off, or before touch-down): the four closing pairs tie as mirror images",0.0035,0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
88.0000,59.2778,D29,59.9518,D29,53.7205,D29,48.4561,D29,"swing, 0.0050 of a cycle from a hand-over (tau 0.0100 after lift-off, or before touch-down): the four closing pairs tie as mirror images",0.0050,0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
88.5000,59.2578,D29,59.9323,D29,53.6962,D29,48.4280,D29,"swing, 0.0064 of a cycle from a hand-over (tau 0.0129 after lift-off, or before touch-down): the four closing pairs tie as mirror images",0.0064,0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
89.0000,59.2307,D29,59.9057,D29,53.6654,D29,48.3938,D29,"swing, 0.0079 of a cycle from a hand-over (tau 0.0157 after lift-off, or before touch-down): the four closing pairs tie as mirror images",0.0079,0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
